symbol;value
AHRR;3
GSC2;0
ZNF275;872
MTMR1;889
GPC1;921
ADCK1;200
HAGH;1217
RNF4;2109
CASP8;1230
LIMCH1;1584
INTS13;736
TM7SF3;4357
DLX3;9
SPA17;435
TSPAN32;90
CCN5;33
DMRT3;3
ST3GAL6;418
ATP2C2;18
NGFR;1005
CDON;595
TAF2;885
HIPK2;12664
TNPO3;1939
BORCS8-MEF2B;0
RFXANK;1269
TMEM161A;1050
LPAR2;375
CTSA;9652
SUGP2;2421
SLC12A2;655
SNX24;678
EYA2;123
CNN2;4070
ABCA7;444
SNCAIP;26
DDX20;573
BTBD1;1849
FAR2;636
BCAS1;5
POU1F1;1
CHI3L2;318
SBNO2;2175
PMS1;377
HMG20B;2128
CALCRL;4281
TAF11;1008
ANKS1A;1378
AP3D1;4341
ZNF76;1262
SLC9A3R2;3345
NTHL1;250
UHRF1BP1;1175
GNAI3;2582
IPO5;4633
OAT;1444
WDR3;1147
PKN2;1758
WDR18;929
TRAM2;2455
NTN1;47
GLP2R;108
MCM10;38
DGKA;645
ERBB3;3893
ROPN1;2
ANKRD44;987
KARS1;4328
ADAT1;590
PDIA5;3222
TBC1D22B;820
NDUFB4;2995
SPEN;2427
MYLK;8080
ZC3H15;1238
MAP2K4;1094
PACC1;269
SNAP91;0
SLK;2375
CYB5R4;692
COL17A1;4
GSTO2;15
SEC61A2;495
PRKCQ;426
TLE2;542
ASB1;923
FAM107B;6076
ME1;372
TBC1D1;3560
CDK13;2224
MTHFD2;894
SLC9A7;762
FOXJ2;1549
YBX1;12424
PDE4A;1315
PPP2R5A;1724
CTNNA2;1
ELAVL1;2857
TIE1;2434
DIP2B;1758
SMARCD1;2125
KDM4A;882
NFYC;1616
ZMYND12;86
SLC9A3;1097
NGEF;211
ASPM;146
CD84;1297
ELOVL1;2581
SPI1;1733
POLR1H;533
MPPED2;63
CLDN18;43
ZBTB11;834
ATXN3;559
GOLGA5;1025
FGFR2;1558
LRRC40;582
ISOC1;527
EML1;1122
TRMT11;340
THUMPD1;1784
MSANTD3;379
KIF26A;548
ATG2B;1219
ARFGEF1;1781
ACSM2B;912
ZFAT;496
MTFR1;936
STAG3;516
FECH;1060
MYO9A;2383
DDX3Y;2737
PFKP;13346
IDI1;816
SP100;2611
KLF6;6285
PLPP1;4502
NEO1;2851
TRAM1;17055
PHKA1;386
TNFRSF1A;7940
CACNB1;157
EVI5;770
STOML1;722
PKM;71165
DHX29;810
DNTTIP2;1326
METTL22;386
TP53BP1;2576
TRO;571
RRP15;627
RHOA;13281
DHX8;1316
PMS2P4;162
PRKCZ;676
ZFY;788
IARS2;3175
SYT1;13
NAV3;196
IDH3G;1744
ROGDI;244
PDZD4;55
ATP2B3;5
ROCK1;1751
CBFB;2039
PDK3;2110
HYAL2;2424
HDAC4;555
RASSF1;685
FGFR3;706
IFI35;1009
HEATR6;554
COASY;2015
PLEKHH3;870
MEF2A;4551
OTUD5;2092
TFE3;2415
TBC1D25;627
ACSL4;2295
INPP5A;1090
GPKOW;595
GRIPAP1;1759
FTSJ1;791
PRR11;362
REEP1;53
ATP11A;10545
POLR1A;1367
LAPTM4A;16645
TTC7A;1351
IP6K2;1200
STON1-GTF2A1L;2
SRBD1;539
KIF2A;1580
RASGRP2;356
PSME4;1458
IFT80;596
SIRT2;1985
ERLEC1;2593
PPP2R5B;877
PYGM;142
PAGE1;0
PITX1;0
TRPC7;35
MAST4;1448
ADGRF5;6352
SDK2;32
ADAM7;1
NUP133;1084
NUCKS1;8638
VPS35;2990
DNAJA2;2205
BCL3;1395
KCNAB2;1188
ABCC9;1078
GAL;0
CLEC2D;914
FUNDC1;551
MAOB;5533
RORA;2079
DRD4;16
TGFBR3;719
PLA2G10;1
HES2;33
ATP1B3;2757
NEDD4;843
PIGB;919
MAPK6;1016
GNB5;945
RAB27A;751
HDHD5;1367
UFD1;1634
LRP6;1351
GUCY2C;104
SCT;2
PHRF1;1717
ELP1;1035
NUCB2;2501
PFN2;1291
PTPN3;853
SPTB;151
DAPP1;166
FGF10;0
SLC44A1;1602
TMEM260;438
SMG6;1769
EXOC5;1421
CLTCL1;177
FGF22;3
FSTL3;5091
DGCR2;4018
RNF126;874
MNT;1046
ZXDC;952
JMJD6;684
POLB;409
ST6GALNAC1;3
WIPI1;1422
FRMPD1;23
GBA2;1915
NDST1;9857
ASNS;68
AP3M2;797
CNGB1;3
ST6GALNAC2;1
CHAT;2
PABPC1;18794
TESK2;93
CFAP20;857
CSNK2A2;2308
PTPN21;521
EIF2B3;633
CAMK2A;9
TCOF1;1411
CDC42;7327
OSBPL3;1850
EPHA8;1
SLC12A3;11
RAD18;259
ATP2B1;1522
TRPM5;1
NCK2;2256
MAP4K4;4657
MGAT4A;2898
RPL31;20435
WDR1;9713
SNX13;1834
MS4A12;0
ARHGAP10;544
RPS6KA2;3887
ING3;740
VASH1;3473
LMCD1;896
BUD23;3114
SEL1L;4293
TRIP13;145
ATP6AP1;5966
TCF3;1270
TRIB2;3594
DAZAP1;3037
MBD3;1653
PRLH;0
HLTF;1377
FAM50A;2027
FAM3A;1420
CPSF1;2081
MYO3B;8
CYBRD1;1821
CDH19;1
PDCD2;1274
SLC6A15;0
RDH11;1388
PRKACA;2843
ADGRL1;681
SPP2;0
ACTN1;6460
ZFYVE26;915
RPS6KA6;131
EPN2;1220
PTPN18;2844
LIMS2;1317
ASIC4;2
SPEG;84
LNX1;651
ALDH3A2;2436
TFRC;1176
SREBF1;3453
TRPC5;3
AFF4;4579
UBE2D1;627
MPP5;903
RHOBTB1;3220
SMC1A;2631
HSD17B10;1867
MARK2;1361
HMMR;73
CHFR;975
TRHDE;765
P4HA2;3976
FCGR2B;492
NFATC3;863
TRNT1;546
ACADVL;12083
STK10;2106
FBXW11;1916
ACAP1;612
CRMP1;952
EVC;902
DERL2;1887
SIDT1;121
NDE1;1357
IRAG1;1598
TMEM38A;71
AP1M1;2443
PVR;1920
XRCC1;863
SCARB1;7872
CYP2W1;5
MCM2;590
MOV10L1;22
PANX2;7
SELENOO;752
TP63;14
ALPK1;1023
LLGL2;1107
PDE8A;1826
CLCN4;680
NLE1;658
SDHA;438
SMARCE1;308
FNDC8;51
GSDMB;221
KDM5A;1800
ADAM11;21
PPP2R3A;2122
FERMT2;1805
ABCB11;2
DHRS9;45
CD5L;11
PTGS2;102
IGF2BP2;50
MAP3K13;1625
ST6GAL1;2168
TBX21;87
VDAC1P1;1
FRY;1418
PICALM;9931
NSF;1314
GLI2;130
CLASP1;2872
MRPS34;1489
NOTCH3;14656
CLNS1A;1679
PPP2R2C;17
TEAD2;867
EED;485
CDHR2;375
SNCB;0
TSG101;1832
NCBP3;1690
ATP2A3;1239
CA12;16999
MGLL;9916
NTN4;4007
BCS1L;856
NUAK1;1454
DPP8;1777
SLC24A1;658
ZNF532;2886
SCARF1;1311
LMAN1;8217
HACD3;2114
IPCEF1;154
ZZEF1;2087
NOX3;2
ENO1;99294
SLC12A1;18
MYDGF;4924
ANO8;428
TUBE1;621
ARHGEF10L;1815
TXK;92
WSCD2;3
KCNQ2;3
TACR2;14
ACTR6;803
TIPIN;225
SRI;4423
EIF4G3;2280
NUP37;561
SEMA3A;22
GTSE1;87
SEMA3C;702
TTC38;1553
ACAT1;2407
GRAMD4;6680
CELSR1;4798
WNT8B;3
ZNF638;2705
SLC25A40;988
TIMM21;595
ADD2;21
FGF4;1
RASAL2;2052
VPS9D1;628
ZNF37A;943
MARK3;1620
SLC25A3;11434
FNDC3B;7244
FOSL2;9578
CACNG5;301
CACNG4;2
FRYL;2413
TMEM131;2222
FSCN1;3304
ACTB;170749
MOCOS;162
PLD1;1766
ATP12A;0
WDR62;80
DLG1;2468
RAB7A;8538
BCAP29;23
SEC31B;351
SART3;2037
ARHGAP15;542
TUBA3D;107
PAX2;2287
EXOSC7;442
KIFAP3;1346
MKRN2;2250
MCM6;927
REXO2;896
RBM7;823
RBMS2;4615
BAZ2A;4995
PTPN23;1191
MLH1;786
UNG;1523
FMO4;252
KLHL20;640
RGS11;32
SLC46A1;2460
PLXNA2;3004
SPAG5;228
ANKRD13A;3712
TPD52;1660
ACACB;1455
TRAF4;1015
PAG1;1524
GPATCH1;362
ICAM3;888
NT5C2;1741
MCAM;33606
GPC4;1378
MBNL3;483
CAMSAP3;219
RAP1GAP;670
XAB2;1308
ARHGEF1;3309
STXBP2;1081
MAP2K7;1175
NMRK2;0
DGKD;1927
CTTNBP2;477
ACTL6B;1
RARB;431
TOP2B;2662
TM9SF3;7529
NFKB2;2058
UBE2T;76
PPP1R12B;2526
DNAJC10;4027
GTF3C1;2123
IL4R;3214
USP33;1931
PAK3;108
CAPN6;102
DCX;8
SNRPA;1396
SPAG6;4
EXOSC5;783
DYNC1I2;2733
APBB1IP;1193
LRCH4;266
FAM76B;637
SIRT6;521
TYR;8
POLD3;802
ACTN2;19
CAPZB;7860
GPR137B;1084
NAALAD2;33
JADE1;2028
SLC25A43;845
UBE2A;1792
FGFR1;3706
FKBP6;0
SMC1B;7
FBLN1;458
ITGA8;779
CST7;617
MAP2;1090
PIAS2;1180
AMPH;8
ARAF;1822
MCCC1;849
LAMP3;328
FAP;197
NEBL;2216
ACER3;1297
UBE2K;2704
PIK3C3;1295
N4BP2;382
TIGAR;321
TULP3;1889
SYNJ2;768
ADCY2;14
PPP2R5C;2288
PMS2P1;862
RBFOX1;23
GNB1;14714
HOXA9;616
EDN1;7014
MLLT10;1070
ZCWPW1;215
ADCYAP1R1;8
FGF20;19
P2RY10;215
ITM2A;771
NRDC;4004
VDAC3;2729
PCM1;2746
TNRC6C;658
CBFA2T2;1257
BRINP1;19
ITCH;2126
PKD2L2;246
TP53INP2;3962
SDF4;6583
MYH7B;162
BPIFB2;0
TP73;70
TOLLIP;2176
UBE2D4;1116
CLUL1;41
RUNX1T1;184
CDH17;4
THOC1;779
FKBP7;437
OSBPL6;14
SLC1A3;720
XRCC5;6934
LXN;737
SP140;141
MKNK1;1026
TNS1;18588
REXO1;1032
SAR1A;3653
CDC14A;373
RAPGEF3;1222
CEACAM1;322
SENP1;763
DUSP13;1
CIC;3119
LIPE;142
FDFT1;1442
PAFAH1B3;515
OPHN1;188
AFM;11
KIF22;667
SCGN;307
CARMIL1;593
PGM1;4833
DDX1;2569
DNM2;12528
EPB41L2;3687
RIMS1;4
MOXD1;70
STX7;2979
RABL2B;758
KEAP1;2048
DDX43;28
PTPRH;105
DCT;34
SLC35C2;2255
CRYBG3;893
EPHA6;92
SCTR;232
RFX3;571
RIF1;1812
RAB21;4463
SLC4A4;3124
SMARCA2;2446
RDH8;0
SESN1;748
MID2;546
DNAAF6;2
COL5A3;1528
SRCAP;156
PUM3;473
CPB2;2
CHRNA3;9
KCNN2;72
CNOT4;882
PSEN1;1660
CPOX;573
CLDND1;1747
MOK;378
HSP90AA1;10510
RBL1;320
DLGAP4;3543
IGSF9B;195
CFHR2;0
CROCCP3;241
NDC80;109
AP4E1;424
RSBN1;997
MAGI3;188
CXCL2;618
AFP;23
COL4A4;272
TCF7;258
OSTM1;2009
CDH7;0
IMPG2;36
PCNP;5001
EXD2;642
ARG2;1154
MEF2C;4068
PTPRC;3087
CACNA1S;3
PKP1;15
UBA5;3056
