symbol;value
ELAVL1;1618
TIE1;1385
DIP2B;1656
SMARCD1;1621
KDM4A;546
NFYC;1315
ZMYND12;243
SLC9A3;1042
NGEF;289
ASPM;240
CD84;2447
ELOVL1;1774
SPI1;1293
POLR1H;630
MPPED2;62
CLDN18;10
ZBTB11;937
ATXN3;473
GOLGA5;2137
FGFR2;757
LRRC40;864
ISOC1;762
EML1;1043
TRMT11;361
THUMPD1;2032
MSANTD3;410
KIF26A;436
ATG2B;1316
ARFGEF1;2433
ACSM2B;3433
ZFAT;406
MTFR1;1279
STAG3;349
FECH;1326
MYO9A;2883
DDX3Y;1013
PFKP;12893
IDI1;1145
SP100;3425
KLF6;23749
PLPP1;7684
NEO1;2568
TRAM1;9060
PHKA1;854
TNFRSF1A;4073
CACNB1;66
EVI5;394
STOML1;419
PKM;41078
DHX29;1384
DNTTIP2;1817
METTL22;262
TP53BP1;1829
TRO;38
RRP15;547
RHOA;12708
DHX8;1298
PMS2P4;153
PRKCZ;782
ZFY;212
IARS2;3704
SYT1;5
NAV3;15
IDH3G;1419
ROGDI;158
PDZD4;42
ATP2B3;3
ROCK1;2439
CBFB;1249
PDK3;2108
HYAL2;1566
HDAC4;457
RASSF1;716
FGFR3;724
IFI35;2201
HEATR6;509
COASY;1420
PLEKHH3;477
MEF2A;3663
OTUD5;1774
TFE3;1718
TBC1D25;531
ACSL4;2514
INPP5A;684
GPKOW;624
GRIPAP1;1101
FTSJ1;659
PRR11;239
REEP1;51
ATP11A;9226
POLR1A;1266
LAPTM4A;8794
TTC7A;1630
IP6K2;1058
STON1-GTF2A1L;0
SRBD1;609
KIF2A;2131
RASGRP2;200
PSME4;1735
IFT80;265
SIRT2;1913
ERLEC1;1933
PPP2R5B;569
PYGM;69
PAGE1;0
PITX1;0
TRPC7;3
MAST4;2547
ADGRF5;4037
SDK2;7
ADAM7;1
NUP133;1397
NUCKS1;7656
VPS35;3974
DNAJA2;2620
BCL3;966
KCNAB2;1541
ABCC9;597
GAL;0
CLEC2D;665
FUNDC1;400
MAOB;6875
RORA;1396
DRD4;12
TGFBR3;1241
PLA2G10;4
HES2;59
ATP1B3;1637
NEDD4;1319
PIGB;534
MAPK6;1353
GNB5;937
RAB27A;1522
HDHD5;1140
UFD1;1464
LRP6;894
GUCY2C;87
SCT;0
PHRF1;1139
ELP1;1389
NUCB2;1701
PFN2;2125
PTPN3;1658
SPTB;95
DAPP1;318
FGF10;0
SLC44A1;2910
TMEM260;630
SMG6;1445
EXOC5;2379
CLTCL1;123
FGF22;0
FSTL3;288
DGCR2;3153
RNF126;738
MNT;569
ZXDC;874
JMJD6;677
POLB;564
ST6GALNAC1;2
WIPI1;868
FRMPD1;40
GBA2;2210
NDST1;3453
ASNS;31
AP3M2;796
CNGB1;0
ST6GALNAC2;32
CHAT;0
PABPC1;25251
TESK2;168
CFAP20;636
CSNK2A2;2231
PTPN21;538
EIF2B3;616
CAMK2A;1
TCOF1;1094
CDC42;7471
OSBPL3;1270
EPHA8;1
SLC12A3;9
RAD18;203
ATP2B1;1254
TRPM5;0
NCK2;1594
MAP4K4;3977
MGAT4A;2877
RPL31;16750
WDR1;7373
SNX13;2583
MS4A12;0
ARHGAP10;645
RPS6KA2;1316
ING3;968
VASH1;1739
LMCD1;439
BUD23;1848
SEL1L;5535
TRIP13;123
ATP6AP1;4180
TCF3;1178
TRIB2;2544
DAZAP1;1734
MBD3;920
PRLH;0
HLTF;1742
FAM50A;1038
FAM3A;1221
CPSF1;1220
MYO3B;21
CYBRD1;1688
CDH19;0
PDCD2;1548
SLC6A15;2
RDH11;2155
PRKACA;2206
ADGRL1;280
SPP2;0
ACTN1;4615
ZFYVE26;1469
RPS6KA6;8
EPN2;984
PTPN18;2793
LIMS2;676
ASIC4;3
SPEG;4
LNX1;416
ALDH3A2;4924
TFRC;4083
SREBF1;2146
TRPC5;0
AFF4;4851
UBE2D1;521
MPP5;1527
RHOBTB1;2293
SMC1A;2364
HSD17B10;1310
MARK2;1412
HMMR;186
CHFR;679
TRHDE;738
P4HA2;5556
FCGR2B;122
NFATC3;1574
TRNT1;591
ACADVL;9146
STK10;2437
FBXW11;2349
ACAP1;660
CRMP1;856
EVC;2830
DERL2;1112
SIDT1;203
NDE1;773
IRAG1;813
TMEM38A;131
AP1M1;1683
PVR;486
XRCC1;848
SCARB1;8737
CYP2W1;3
MCM2;673
MOV10L1;28
PANX2;4
SELENOO;465
TP63;39
ALPK1;979
LLGL2;1082
PDE8A;1482
CLCN4;580
NLE1;724
SDHA;300
SMARCE1;153
FNDC8;39
GSDMB;122
KDM5A;1995
ADAM11;13
PPP2R3A;1571
FERMT2;1607
ABCB11;0
DHRS9;127
CD5L;2249
PTGS2;76
IGF2BP2;10
MAP3K13;1124
ST6GAL1;3489
TBX21;74
VDAC1P1;4
FRY;421
PICALM;6791
NSF;1207
GLI2;38
CLASP1;2126
MRPS34;1364
NOTCH3;4904
CLNS1A;1901
PPP2R2C;1
TEAD2;397
EED;439
CDHR2;890
SNCB;0
TSG101;1692
NCBP3;1374
ATP2A3;1684
CA12;18300
MGLL;9602
NTN4;2771
BCS1L;518
NUAK1;514
DPP8;1384
SLC24A1;447
ZNF532;2015
SCARF1;839
LMAN1;8945
HACD3;2003
IPCEF1;223
ZZEF1;2042
NOX3;0
ENO1;78340
SLC12A1;3
MYDGF;2261
ANO8;268
TUBE1;489
ARHGEF10L;1979
TXK;228
WSCD2;5
KCNQ2;1
TACR2;15
ACTR6;588
TIPIN;189
SRI;3105
EIF4G3;1965
NUP37;406
SEMA3A;14
GTSE1;119
SEMA3C;289
TTC38;1870
ACAT1;4222
GRAMD4;4526
CELSR1;2194
WNT8B;4
ZNF638;2789
SLC25A40;1023
TIMM21;585
ADD2;87
FGF4;0
RASAL2;1007
VPS9D1;381
ZNF37A;904
MARK3;1563
SLC25A3;8968
FNDC3B;3322
FOSL2;6026
CACNG5;38
CACNG4;3
FRYL;2352
TMEM131;2163
FSCN1;1471
ACTB;89568
MOCOS;17
PLD1;1073
ATP12A;0
WDR62;63
DLG1;1711
RAB7A;6478
BCAP29;18
SEC31B;163
SART3;1531
ARHGAP15;684
TUBA3D;24
PAX2;1643
EXOSC7;209
KIFAP3;1365
MKRN2;1465
MCM6;1130
REXO2;573
RBM7;1024
RBMS2;2022
BAZ2A;5471
PTPN23;1194
MLH1;891
UNG;1102
FMO4;354
KLHL20;675
RGS11;7
SLC46A1;2349
PLXNA2;1683
SPAG5;414
ANKRD13A;3905
TPD52;1143
ACACB;1001
TRAF4;851
PAG1;2313
GPATCH1;343
ICAM3;1130
NT5C2;1521
MCAM;6343
GPC4;307
MBNL3;497
CAMSAP3;442
RAP1GAP;1730
XAB2;1417
ARHGEF1;2554
STXBP2;621
MAP2K7;989
NMRK2;2
DGKD;1119
CTTNBP2;1034
ACTL6B;0
RARB;492
TOP2B;2664
TM9SF3;4827
NFKB2;2364
UBE2T;126
PPP1R12B;1206
DNAJC10;2704
GTF3C1;1981
IL4R;1421
USP33;2214
PAK3;41
CAPN6;56
DCX;10
SNRPA;1166
SPAG6;6
EXOSC5;601
DYNC1I2;2772
APBB1IP;2316
LRCH4;244
FAM76B;366
SIRT6;315
TYR;0
POLD3;571
ACTN2;2
CAPZB;5340
GPR137B;2442
