symbol;value
TBX21;1
VDAC1P1;0
FRY;4
PICALM;14
NSF;3
GLI2;0
CLASP1;7
MRPS34;107
NOTCH3;23
CLNS1A;36
PPP2R2C;9
TEAD2;11
EED;6
CDHR2;259
SNCB;0
TSG101;5
NCBP3;24
ATP2A3;4
CA12;14
MGLL;33
NTN4;0
BCS1L;287
NUAK1;17
DPP8;3
SLC24A1;162
ZNF532;19
SCARF1;11
LMAN1;10
HACD3;47
IPCEF1;1
ZZEF1;6
NOX3;0
ENO1;43
SLC12A1;3
MYDGF;26
ANO8;48
TUBE1;2
ARHGEF10L;2
TXK;0
WSCD2;0
KCNQ2;1
TACR2;89
ACTR6;11
TIPIN;13
SRI;11
EIF4G3;10
NUP37;3
SEMA3A;1
GTSE1;8
SEMA3C;11
TTC38;7
ACAT1;197
GRAMD4;7
CELSR1;100
WNT8B;31
ZNF638;23
SLC25A40;1
TIMM21;3
ADD2;4
FGF4;0
RASAL2;6
VPS9D1;423
ZNF37A;3
MARK3;11
SLC25A3;28
FNDC3B;17
FOSL2;40
CACNG5;2
CACNG4;0
FRYL;23
TMEM131;5
FSCN1;41
ACTB;100
MOCOS;4
PLD1;76
ATP12A;0
WDR62;144
DLG1;36
RAB7A;9
BCAP29;1
SEC31B;6
SART3;73
ARHGAP15;2
TUBA3D;97
PAX2;0
EXOSC7;18
KIFAP3;1
MKRN2;2494
MCM6;2
REXO2;3
RBM7;227
RBMS2;265
BAZ2A;50
PTPN23;69
MLH1;80
UNG;5
FMO4;29
KLHL20;89
RGS11;73
SLC46A1;116
PLXNA2;19
SPAG5;16
ANKRD13A;170
TPD52;2
ACACB;13
TRAF4;58
PAG1;5
GPATCH1;20
ICAM3;127
NT5C2;95
MCAM;120
GPC4;1
MBNL3;89
CAMSAP3;60
RAP1GAP;0
XAB2;12
ARHGEF1;7
STXBP2;12
MAP2K7;6
NMRK2;3
DGKD;23
CTTNBP2;1
ACTL6B;7
RARB;97
TOP2B;12
TM9SF3;27
NFKB2;44
UBE2T;7
PPP1R12B;86
DNAJC10;5
GTF3C1;13
IL4R;17
USP33;5
PAK3;0
CAPN6;1
DCX;1
SNRPA;7
SPAG6;0
EXOSC5;3
DYNC1I2;10
APBB1IP;0
LRCH4;2
FAM76B;24
SIRT6;0
TYR;2
POLD3;2
ACTN2;2
CAPZB;18
GPR137B;30
NAALAD2;197
JADE1;88
SLC25A43;5
UBE2A;1387
FGFR1;93
FKBP6;0
SMC1B;40
FBLN1;33
ITGA8;3
CST7;26
MAP2;0
PIAS2;19
AMPH;2
ARAF;6
MCCC1;5
LAMP3;4
FAP;2
NEBL;6
ACER3;2
UBE2K;5
PIK3C3;0
N4BP2;7
TIGAR;4
TULP3;6
SYNJ2;47
ADCY2;1
PPP2R5C;19
PMS2P1;740
RBFOX1;6
GNB1;46
HOXA9;8
EDN1;31
MLLT10;45
ZCWPW1;144
ADCYAP1R1;2
FGF20;0
P2RY10;0
ITM2A;0
NRDC;466
VDAC3;26
