symbol;value
PMS2P1;176
RBFOX1;4
GNB1;5889
HOXA9;25
EDN1;305
MLLT10;509
ZCWPW1;42
ADCYAP1R1;41
FGF20;1
P2RY10;13
ITM2A;396
NRDC;2451
VDAC3;620
PCM1;1864
TNRC6C;732
CBFA2T2;613
BRINP1;12
ITCH;1091
PKD2L2;110
TP53INP2;1209
SDF4;1321
MYH7B;9
BPIFB2;9
TP73;42
TOLLIP;1268
UBE2D4;389
CLUL1;134
RUNX1T1;177
CDH17;6
THOC1;605
FKBP7;264
OSBPL6;1066
SLC1A3;251
XRCC5;6562
LXN;302
SP140;23
MKNK1;339
TNS1;5081
REXO1;309
SAR1A;2707
CDC14A;69
RAPGEF3;287
CEACAM1;104
SENP1;458
DUSP13;0
CIC;1240
LIPE;1610
FDFT1;1293
PAFAH1B3;514
OPHN1;365
AFM;0
KIF22;838
SCGN;0
CARMIL1;580
PGM1;1167
DDX1;2346
DNM2;1681
EPB41L2;1057
RIMS1;2
MOXD1;73
STX7;764
RABL2B;352
KEAP1;970
DDX43;6
PTPRH;4
DCT;1
SLC35C2;588
CRYBG3;677
EPHA6;1
SCTR;1
RFX3;172
RIF1;1261
RAB21;1392
SLC4A4;83
SMARCA2;3353
RDH8;1
SESN1;509
MID2;406
DNAAF6;0
COL5A3;1209
SRCAP;83
PUM3;407
CPB2;1
CHRNA3;4
KCNN2;21
CNOT4;368
PSEN1;1593
CPOX;155
CLDND1;473
MOK;207
HSP90AA1;13985
RBL1;115
DLGAP4;1061
IGSF9B;59
CFHR2;0
CROCCP3;40
NDC80;29
AP4E1;244
RSBN1;705
MAGI3;1476
CXCL2;96
AFP;1
COL4A4;29
TCF7;135
OSTM1;392
CDH7;22
IMPG2;15
PCNP;1676
EXD2;696
ARG2;549
MEF2C;527
PTPRC;262
CACNA1S;1
PKP1;105
UBA5;928
STK17B;495
CDC14B;414
ZNF510;461
LRP2;236
ZNF506;620
JMJD4;308
DUSP12;155
AACS;1119
DELE1;837
SLC13A1;0
CADPS2;750
PCDHB4;177
PCDHA6;1
PCDHGA2;18
HSPB11;402
PHLPP1;357
ATP8B1;1862
IL12RB2;7
SMARCD3;126
WDR70;436
FYB1;108
MPP4;0
STRADB;448
BZW1;3564
PGR;2608
C1QTNF3;744
ME2;330
C5orf22;562
CCNT2;1011
FAM135A;91
COL19A1;0
EPB41L3;435
COBLL1;755
DLG3;1064
KCNK2;15
SERTAD4;794
TRAF5;1008
MRPL22;246
GEMIN5;516
OPRK1;0
NFE2L1;6341
SEMA5B;25
GSK3B;1559
ITGB5;7898
ERC1;1498
XPO1;2895
LINC01587;0
RNF13;1037
TRPM3;1
PALB2;442
DOP1A;551
LYRM2;561
BCKDHB;408
KAT6A;993
TUT7;963
ULK2;303
GRHL2;1351
TNPO1;2395
PLOD1;2047
P2RX5;2
ITGAE;135
DIS3;1196
PIBF1;446
TDRD3;362
AC000061.1;0
NUFIP1;148
PDS5B;1376
OXCT1;553
RRAGB;296
EPYC;18
CYLD;838
SLC27A5;173
ZNF324;158
ZNF671;201
ZNF416;112
ZNF586;234
ZNF446;202
ZNF264;873
RPS5;3617
FAT1;1255
YTHDC1;1310
CHMP2B;800
SMAP2;1102
PPIE;621
ZMPSTE24;2060
STARD7;2004
NOA1;366
REST;1356
HAL;5
SSH1;818
GSTP1;1571
APLP2;10492
FAM234B;1576
SLCO1A2;3
WBP11;1622
EIF3I;2575
NKAIN1;290
COL16A1;2240
TXLNA;1637
APOB;123
NCOA1;1582
AGBL5;726
EFR3B;47
KIF3C;178
RAB10;3835
GCKR;0
HADHA;3033
MAPRE3;154
CAD;486
CD59;4377
CD82;1946
BCORL1;297
ATRX;2208
AK6;223
FCN1;8
MYNN;520
MECOM;214
SCAMP1;1286
PREP;446
HACE1;134
SEH1L;489
WDR47;474
WDFY1;1053
OVGP1;31
SLC25A24;913
MAP3K4;344
PILRA;39
IGSF9;340
ABCB1;72
ZNF213;512
AKR1B1;277
CPNE3;2834
RRN3;1325
CTTN;2442
WNT11;34
MTIF2;537
DDHD2;669
TTC39A;3130
EPS15;1965
ORC1;15
MGST2;326
CHERP;632
ATG16L1;1261
USP40;901
POMGNT1;1052
RAD54L;52
MAST2;802
DNAJA1;2502
B4GALT1;5160
CHMP5;1039
NFX1;973
AQP6;0
DIMT1;412
IPO11;519
FOLH1;35
EIF2AK1;3725
NME8;13
EPDR1;70
SNX10;199
SEPHS1;666
MRPL28;495
HBQ1;0
ITPKC;432
CEACAM6;146
FAT2;44
RBM22;759
TMED2;6194
ERO1B;118
ZFAND6;2010
HSD17B2;4
TXLNG;566
PPEF1;66
LAT2;97
HUWE1;5631
ZW10;446
ALG9;124
MYBPC2;7
NOX4;225
ACOX3;495
MTMR2;717
PPP1R15A;621
HSD17B14;31
TRIP6;325
