gene;value
RIOK2;333
YIPF1;1039
NDC1;2463
DGKG;107
FLYWCH1;711
UNKL;569
TBXAS1;455
PARP12;1305
ALDH18A1;4556
TARBP1;954
GATB;393
MXD1;629
CDK17;842
DNAJC25;350
SLC2A3;772
PSD;328
CTDP1;784
YBX3;9157
STYK1;48
WNK1;10917
RPS17P5;8
CCAR1;1511
OGFR;1951
GNA15;208
CREB3L3;1
PIGV;1170
PTPRU;7490
SNRNP40;1427
RIMBP2;328
COL11A1;8848
QSER1;1884
MPC1;560
ACAA1;2605
BCAT1;1290
HDAC7;8074
LZTS1;802
PRDM6;40
WNT8A;0
SPAG4;588
NCKAP1;3429
MRPS35;3038
GUCY1B1;754
SFSWAP;1481
TNK2;1806
MON2;868
CDH3;509
ARSF;0
GPBP1;2622
DGAT2;156
ZNF112;123
CS;11090
LTK;33
MRPS24;13
ELMO2;3707
WAPL;2026
VMP1;5964
APPBP2;1438
POLD1;1048
SEZ6;2252
EIF4B;20027
SLC6A16;11
BICRA;852
SPHK2;1309
RPL18;43469
CA11;512
ISOC2;1701
U2AF2;5650
EPN1;6404
MED29;3677
AHRR;1
GSC2;5
ZNF275;1488
MTMR1;1374
GPC1;4013
ADCK1;507
HAGH;837
RNF4;5725
CASP8;859
LIMCH1;842
INTS13;1386
TM7SF3;2344
DLX3;156
SPA17;465
TSPAN32;32
CCN5;14
DMRT3;13
ST3GAL6;286
ATP2C2;67
NGFR;607
CDON;500
TAF2;3010
HIPK2;5383
TNPO3;2052
BORCS8-MEF2B;2
RFXANK;3112
TMEM161A;1459
LPAR2;849
CTSA;15038
SUGP2;3233
SLC12A2;844
SNX24;411
EYA2;11171
CNN2;6061
ABCA7;345
SNCAIP;47
DDX20;461
BTBD1;5014
FAR2;361
BCAS1;24
POU1F1;0
CHI3L2;9
SBNO2;5291
PMS1;364
HMG20B;2615
CALCRL;306
TAF11;1104
ANKS1A;2424
AP3D1;10676
ZNF76;1301
SLC9A3R2;3796
NTHL1;473
UHRF1BP1;1445
GNAI3;2227
IPO5;6803
OAT;2340
WDR3;828
PKN2;822
WDR18;896
TRAM2;2528
NTN1;1395
GLP2R;8
MCM10;403
DGKA;320
ERBB3;3873
ROPN1;1
ANKRD44;185
KARS1;3558
ADAT1;635
PDIA5;1576
TBC1D22B;1010
NDUFB4;5726
SPEN;5098
MYLK;4559
ZC3H15;1378
MAP2K4;649
PACC1;267
SNAP91;53
SLK;1753
CYB5R4;776
COL17A1;15
GSTO2;1242
SEC61A2;716
PRKCQ;70
TLE2;1085
ASB1;776
FAM107B;1082
ME1;448
TBC1D1;2001
CDK13;1816
MTHFD2;4108
SLC9A7;840
FOXJ2;1690
YBX1;36939
PDE4A;731
PPP2R5A;1558
CTNNA2;65
ELAVL1;4379
TIE1;590
DIP2B;2000
SMARCD1;3905
KDM4A;1615
NFYC;2296
ZMYND12;133
SLC9A3;70
NGEF;1334
ASPM;1173
CD84;842
ELOVL1;3527
SPI1;1319
POLR1H;570
MPPED2;860
CLDN18;0
ZBTB11;986
ATXN3;873
GOLGA5;2511
FGFR2;3232
LRRC40;364
ISOC1;555
EML1;333
TRMT11;296
THUMPD1;1590
MSANTD3;781
KIF26A;94
ATG2B;1342
ARFGEF1;1350
ACSM2B;0
ZFAT;1240
MTFR1;409
STAG3;360
FECH;2197
MYO9A;1274
DDX3Y;0
PFKP;8159
IDI1;1587
SP100;1312
KLF6;4547
PLPP1;1120
NEO1;9431
TRAM1;5533
PHKA1;312
TNFRSF1A;6994
CACNB1;338
EVI5;407
STOML1;476
PKM;103736
DHX29;1321
DNTTIP2;1191
METTL22;412
TP53BP1;1986
TRO;358
RRP15;637
RHOA;27074
DHX8;3613
PMS2P4;83
PRKCZ;1315
ZFY;0
IARS2;2891
SYT1;48
NAV3;104
IDH3G;3250
ROGDI;298
PDZD4;96
ATP2B3;10
ROCK1;1735
CBFB;1487
PDK3;403
HYAL2;2474
HDAC4;1151
RASSF1;743
FGFR3;588
IFI35;603
HEATR6;882
COASY;3474
PLEKHH3;926
MEF2A;2491
OTUD5;3854
TFE3;2447
TBC1D25;900
ACSL4;1707
INPP5A;870
GPKOW;780
GRIPAP1;1349
FTSJ1;1701
PRR11;1616
REEP1;168
ATP11A;4894
POLR1A;3454
LAPTM4A;10334
TTC7A;1868
IP6K2;2843
STON1-GTF2A1L;10
SRBD1;556
KIF2A;1666
RASGRP2;53
PSME4;1796
IFT80;436
