symbol;value
MAP3K13;312
ST6GAL1;1080
TBX21;15
VDAC1P1;1
FRY;683
PICALM;4066
NSF;274
GLI2;44
CLASP1;2342
MRPS34;869
NOTCH3;3502
CLNS1A;942
PPP2R2C;10
TEAD2;594
EED;294
CDHR2;2
SNCB;0
TSG101;1147
NCBP3;735
ATP2A3;236
CA12;121
MGLL;9103
NTN4;1030
BCS1L;358
NUAK1;889
DPP8;777
SLC24A1;344
ZNF532;915
SCARF1;510
LMAN1;2130
HACD3;969
IPCEF1;7
ZZEF1;1162
NOX3;0
ENO1;9690
SLC12A1;4
MYDGF;853
ANO8;290
TUBE1;356
ARHGEF10L;496
TXK;8
WSCD2;55
KCNQ2;46
TACR2;28
ACTR6;452
TIPIN;49
SRI;1410
EIF4G3;934
NUP37;190
SEMA3A;346
GTSE1;3
SEMA3C;1093
TTC38;2135
ACAT1;4526
GRAMD4;755
CELSR1;59
WNT8B;0
ZNF638;1542
SLC25A40;232
TIMM21;373
ADD2;65
FGF4;0
RASAL2;696
VPS9D1;249
ZNF37A;333
MARK3;1130
SLC25A3;9117
FNDC3B;1852
FOSL2;3372
CACNG5;0
CACNG4;3
FRYL;1117
TMEM131;1051
FSCN1;349
ACTB;33370
MOCOS;986
PLD1;469
ATP12A;0
WDR62;14
DLG1;1515
RAB7A;4244
BCAP29;7
SEC31B;91
SART3;747
ARHGAP15;60
TUBA3D;2
PAX2;0
EXOSC7;334
KIFAP3;584
MKRN2;1616
MCM6;524
REXO2;399
RBM7;518
RBMS2;1897
BAZ2A;2739
PTPN23;940
MLH1;646
UNG;684
FMO4;89
KLHL20;551
RGS11;57
SLC46A1;555
PLXNA2;656
SPAG5;27
ANKRD13A;625
TPD52;103
ACACB;41368
TRAF4;80
PAG1;95
GPATCH1;171
ICAM3;671
NT5C2;1130
MCAM;10947
GPC4;697
MBNL3;388
CAMSAP3;4
RAP1GAP;7
XAB2;1282
ARHGEF1;1150
STXBP2;32
MAP2K7;957
NMRK2;2
DGKD;502
CTTNBP2;243
ACTL6B;6
RARB;93
TOP2B;2349
TM9SF3;3190
NFKB2;457
UBE2T;12
PPP1R12B;1653
DNAJC10;976
GTF3C1;1081
IL4R;358
USP33;1656
PAK3;37
CAPN6;66
DCX;6
SNRPA;1001
SPAG6;0
EXOSC5;415
DYNC1I2;1527
APBB1IP;1070
LRCH4;51
FAM76B;311
SIRT6;139
TYR;0
POLD3;648
ACTN2;16
CAPZB;2797
GPR137B;116
NAALAD2;901
JADE1;2082
SLC25A43;239
UBE2A;864
FGFR1;4259
FKBP6;3
SMC1B;2
FBLN1;6680
ITGA8;299
CST7;26
MAP2;329
PIAS2;361
AMPH;203
ARAF;1185
MCCC1;2697
LAMP3;4
FAP;290
NEBL;147
ACER3;1394
UBE2K;981
PIK3C3;590
N4BP2;252
TIGAR;23
TULP3;639
SYNJ2;67
ADCY2;119
PPP2R5C;1577
PMS2P1;272
RBFOX1;1
GNB1;5943
HOXA9;139
EDN1;300
MLLT10;796
ZCWPW1;230
ADCYAP1R1;366
FGF20;0
P2RY10;6
ITM2A;1899
NRDC;3049
VDAC3;1331
PCM1;2777
TNRC6C;864
CBFA2T2;487
BRINP1;7
ITCH;1208
PKD2L2;89
TP53INP2;293
SDF4;2384
MYH7B;103
BPIFB2;4
TP73;12
TOLLIP;1324
UBE2D4;377
CLUL1;1
RUNX1T1;472
CDH17;2
THOC1;345
FKBP7;274
OSBPL6;81
SLC1A3;1517
XRCC5;3869
LXN;213
SP140;8
MKNK1;646
TNS1;21293
REXO1;587
SAR1A;3007
CDC14A;120
RAPGEF3;2001
CEACAM1;72
SENP1;264
